"state","week","prop_infected","prop_infected_lo","prop_infected_hi"
"TN",2021-09-11,0.332697510831769,0.313862139105442,0.471088742605123
"TN",2021-09-18,0.348790653368653,0.329551118688358,0.491564980866152
"TN",2021-09-25,0.360598572500288,0.339865068073718,0.507711193427268
"TN",2021-10-02,0.369148822671892,0.346717675332443,0.520576382305792
"TN",2021-10-09,0.376598559062311,0.352242835379469,0.532033176243497
"TN",2021-10-16,0.380336459637725,0.355238431668817,0.540176094689164
"TN",2021-10-23,0.383783173941781,0.357510236540262,0.547522472023468
"TN",2021-10-30,0.385720506758694,0.358397876158422,0.553893208214806
"TN",2021-11-06,0.387006522316431,0.358509167468913,0.559609859919013
"TN",2021-11-13,0.389246831655497,0.358784983758802,0.566299758432711
"TN",2021-11-20,0.391496009579054,0.359647577521448,0.57285843960612
"TN",2021-11-27,0.391713779576618,0.359703784175927,0.578075275322549
"TN",2021-12-04,0.396142278987483,0.362675518856541,0.58538843900658
"TN",2021-12-11,0.399200669207848,0.365310706908063,0.592367442271182
"TN",2021-12-18,0.401188647934984,0.367607819937396,0.598305358525059
"TN",2021-12-25,0.410809658706372,0.376169714180464,0.60125300543317
"TN",2022-01-01,0.418630686853799,0.383830683949012,0.611506496582285
"TN",2022-01-08,0.427147305286384,0.391642094014183,0.623893347451658
"TN",2022-01-15,0.441920051591956,0.405834630027525,0.641555321701816
"TX",2020-05-02,0.0215664162394732,0.0116878709942201,0.109208598600397
"TX",2020-05-09,0.0268560309966644,0.0163346295113267,0.0995000474185995
"TX",2020-05-16,0.0317092962448225,0.0209365700357512,0.0943308546331741
"TX",2020-05-23,0.0352718729680397,0.0246796647452606,0.0902873710121845
"TX",2020-05-30,0.0398664114620732,0.0287152771111739,0.0891662593302525
"TX",2020-06-06,0.0434003204076582,0.0297057852229466,0.0905870067994096
"TX",2020-06-13,0.0455033408506676,0.0298621450578027,0.095987387957369
"TX",2020-06-20,0.0512551720170824,0.0313558156718621,0.111738390337684
"TX",2020-06-27,0.0567297736491751,0.0334740708631084,0.126092501121797
"TX",2020-07-04,0.0668437658091354,0.037425587529868,0.149407086037962
"TX",2020-07-11,0.0810769566442675,0.0429327723796005,0.179758519023468
"TX",2020-07-18,0.0733970337291237,0.0509268134645855,0.121812403629405
"TX",2020-07-25,0.0750959189474198,0.0565717508270346,0.109884920206265
"TX",2020-08-01,0.0775546659503259,0.0615252728473174,0.10606204458978
"TX",2020-08-08,0.0807062828699327,0.0659892583125214,0.106345395990225
"TX",2020-08-15,0.0844387574235423,0.0701664608678853,0.108995081284016
"TX",2020-08-22,0.0878970557431296,0.0738287032553697,0.112088939058557
"TX",2020-08-29,0.0905064066022568,0.076732102133306,0.114393293861287
"TX",2020-09-05,0.0928301153172161,0.0792945399364636,0.116410531170027
"TX",2020-09-12,0.0939562803836966,0.080677047697354,0.116892744285761
"TX",2020-09-19,0.0960384455719548,0.0829201321597729,0.118880563853457
"TX",2020-09-26,0.100205486808414,0.087305929323516,0.12393726790494
"TX",2020-10-03,0.10274026816266,0.0900113955220845,0.12660188751064
"TX",2020-10-10,0.105251983019747,0.0925343140544627,0.128961601414081
"TX",2020-10-17,0.107454706371558,0.0945268440214444,0.130687619237793
"TX",2020-10-24,0.110567074234558,0.0973765200524985,0.133774959428661
"TX",2020-10-31,0.114660409832736,0.1012275972358,0.137629100978555
"TX",2020-11-07,0.126272167221642,0.113385954522138,0.152383726861071
"TX",2020-11-14,0.133394019117323,0.120298696532121,0.159919258624341
"TX",2020-11-21,0.141603285967065,0.127987960642484,0.168675490053605
"TX",2020-11-28,0.150052447950777,0.135763539129687,0.17694045022508
"TX",2020-12-05,0.160950076681085,0.145928720904329,0.189001996350737
"TX",2020-12-12,0.172047258129454,0.156034054352019,0.200829998163719
"TX",2020-12-19,0.184055633249964,0.167300444693396,0.213750410752962
"TX",2020-12-26,0.193425755935413,0.176601203787042,0.222450278094292
"TX",2021-01-02,0.205475421362582,0.188992774970629,0.234303934580307
"TX",2021-01-09,0.222681363504599,0.206002084365497,0.252480229672904
"TX",2021-01-16,0.240293889198625,0.223111288259792,0.270575486034112
"TX",2021-01-23,0.255517965838843,0.237645456239131,0.286091682113748
"TX",2021-01-30,0.269300602289965,0.251201363158481,0.30011710827397
"TX",2021-02-06,0.283369748193102,0.265391789887317,0.315690733750836
"TX",2021-02-13,0.292351050512003,0.274689817564113,0.325078780831239
"TX",2021-02-20,0.296435201131194,0.279643621806391,0.329740601587211
"TX",2021-02-27,0.3030850029388,0.285792222497874,0.33884679724217
"TX",2021-03-06,0.309068437907415,0.289327319840373,0.34543822454034
"TX",2021-03-13,0.312443608586364,0.293100875487035,0.351294661178732
"TX",2021-03-20,0.314912242037036,0.296536233941531,0.356348187954186
"TX",2021-03-27,0.317238174601026,0.299326354033581,0.361228299711238
"TX",2021-04-03,0.319083779443016,0.300987369113914,0.365560554037578
"TX",2021-04-10,0.321542790829135,0.302449564766303,0.370626599646446
"TX",2021-04-17,0.323236958472705,0.303957187336329,0.375080572290429
"TX",2021-04-24,0.325379727301501,0.305626639383218,0.380354174598046
"TX",2021-05-01,0.327530541078087,0.307314106548226,0.385711592046382
"TX",2021-05-08,0.328856779399981,0.308593881186287,0.390596358938921
"TX",2021-05-15,0.330035204242164,0.30982486581057,0.395571360279638
"TX",2021-05-22,0.330819009881793,0.310921925263229,0.400275992970903
"TX",2021-05-29,0.331555589481047,0.31213978665391,0.405129500013945
"TX",2021-06-05,0.331790755615255,0.312897795021386,0.409814754441232
"TX",2021-06-12,0.332566035765309,0.313875108894237,0.415094375311611
"TX",2021-06-19,0.332906448168307,0.31387702531202,0.420111113170008
"TX",2021-06-26,0.332883411573027,0.314250479859306,0.425013856879201
"TX",2021-07-03,0.332951194015916,0.314369462975432,0.430022158657735
"TX",2021-07-10,0.332704359573114,0.314299648357526,0.434725718545123
"TX",2021-07-17,0.33322165142184,0.314896678381788,0.440152144111411
